Company,Job,Location,Salary
Tetration Analytics,Senior Software Engineer - Controller,"Palo Alto, CA","$140,000 a year"
Edison Pharmaceuticals,Data Scientist,"Mountain View, CA 94043",0
Quora,Software Engineer - Machine Learning,"Mountain View, CA",0
Oracle,Sr. Data Scientist,"Redwood Shores, CA",0
drawbridge,"Lead Data Scientist, Ad Team","San Mateo, CA 94403 (Sugerloaf area)",0
Google,Credit Research Analyst,"Mountain View, CA",0
Google,Test and Failure Analysis Engineer,"Mountain View, CA",0
Intellipro Group Inc.,"Staff Engineer, Big Data","Santa Clara, CA",0
Chegg,"Data Analyst, Customer Success & Student Outcomes (CONTRACTO...","Santa Clara, CA 95054",0
Yahoo! Inc.,Research Scientist: Personalization Sciences,"Sunnyvale, CA",0
Quartzy,Event Marketing Specialist,"Palo Alto, CA",0
Intel,Research Scientist,"Santa Clara, CA 95051",0
Exponent,Associate,"Menlo Park, CA 94025",0
Insight Data Science,Content Marketing Manager,"Palo Alto, CA",0
Gilead Sciences,Research Scientist I- HBV Discovery Virology,"Foster City, CA",0
PlaceIQ,Software Engineer,"Palo Alto, CA",0
Apple,Data Engineering Manager,"Santa Clara Valley, CA",0
Baidu USA,Research Scientist - Institute of Deep Learning,"Sunnyvale, CA 94089",0
Gilead,Research Scientist II- Inflammation,"Foster City, CA",0
Agilent,Senior Scientist,"Santa Clara, CA 95051",0
Geomagical Labs,3D Vision Engineer,"Mountain View, CA",0
Stanford University,Research Finance Analyst,"Stanford, CA 94305",0
Huawei,Chief Scientist,"Santa Clara, CA",0
Nest,Algorithm Leader,"Palo Alto, CA",0
Amazon Corporate LLC,Applied Scientist,"Palo Alto, CA",0
Baidu USA,Machine Learning Engineer,"Sunnyvale, CA 94089",0
Pacific Biosciences,"Sr. Scientist, Single Molecule Sequencing","Menlo Park, CA",0
Theranos,"Scientist, Chemistry Assay Development","Palo Alto, CA",0
AstraZeneca,"Scientist I, Fluorescent Microscopy & Bioanalysis -- (Mounta...","Mountain View, CA",0
Activehours,Risk Analyst,"Palo Alto, CA",0
A9.com,Data Sciences Engineer - Search Insights,"Palo Alto, CA",0
AstraZeneca,"Scientist I / Scientist II, GXP Bioanalysis -- (Mountain Vie...","Mountain View, CA",0
Apple,Core OS Machine Learning and Differential Privacy Engineer,"Santa Clara Valley, CA",0
YuMe,Sr. Data Scientist,"Redwood City, CA 94063",0
Samsung,Senior Data Scientist– e-Commerce,"Mountain View, CA",0
Chegg,Senior Data Scientist,"Santa Clara, CA 95054",0
Samsung Electronics America,Sr. Technical Product Manager - Big Data,"Mountain View, CA",0
DataVisor,Senior Software Engineer - Algorithms/AI,"Mountain View, CA",0
Ipsy,Machine Learning Engineer,"San Mateo, CA",0
IMVU,Senior Data Scientist,"Redwood City, CA",0
"Integrated DNA Technologies, Inc",Bioinformatics Senior Staff Scientist,"Redwood City, CA",0
